RPN Classification Loss,RPN Localization Loss,FRCNN Classification Loss,FRCNN Localization Loss,FRCNN Angle Loss,Total Loss,MAP Score
0.23662364856892848,0.11614473233095916,2.0035954193764947,0.35703066976896797,9.915807821836129,12.629202291881478,0.0
0.0968420278815278,0.10123948295010751,1.9633314041977386,0.38769274302925244,11.171016338811928,13.720121996870553,0.09090909090909091
0.23640439427825083,0.11606122119226066,1.9994920523043174,0.35647912445177593,9.885053808470646,12.593490600697251,0.0
0.09775367552837527,0.10112887918503874,1.963442699842719,0.3869813449116817,11.169170874523452,13.718477473991268,0.09090909090909091
0.08044592838036824,0.0953160876712476,2.0010081919065983,0.3853502961031469,11.924773821317817,14.486894325379177,0.20020686559474307
0.07095095745298967,0.09159381684672785,2.0068005401774704,0.37607330285695445,12.284508198855882,14.829926816190024,0.2510526356355538
0.0645808479952741,0.08826938006596499,2.0038021223478584,0.37409451752307404,12.406480238257176,14.937227106189347,0.17513127301334722
0.06018897627231728,0.08649206652762405,1.9658551227998924,0.3776420122717481,12.079303517284622,14.569481695156203,0.033286986775358865
0.05858604916449325,0.08573438598221517,1.9004159075805391,0.3979933247623216,11.242375541968174,13.685105209457744,0.006269592476489028
0.05876517174134691,0.0848750505908077,1.7522592584925343,0.40572195342812406,9.617114516368424,11.918735950621238,0.0303030303030303
