part,count,min,max,mean,std
part_1,3959,26,319,102.01111391765598,39.951946100514235
part_2,3905,1,197,36.95288092189501,18.57565304549173
part_3,3953,17,322,83.6959271439413,38.01692708997915
part_4,3071,1,130,31.05958971019212,13.694747429517127
part_5,3960,14,186,42.54949494949495,15.825869843726776
part_6,3961,3,404,179.05402676091896,54.5628988544362
part_7,3572,1,181,28.235442329227325,18.98553254372809
