part,count,min,max,mean,std
part_1,3959,28,347,121.75903005809548,43.697460755202854
part_2,3905,1,110,25.44558258642766,12.280593627600112
part_3,3953,31,410,136.55502150265622,50.414001391050185
part_4,3071,1,164,33.42885053728427,15.905515180877654
part_5,3960,10,370,42.554545454545455,21.288056938756338
part_6,3961,2,808,351.7349154253976,109.95643908217278
part_7,3572,1,234,37.39641657334826,24.10796378233056
