conda environment activated
/home2/codepk37

Epoch 20: Accuracy=0.6102
Epoch 21: Accuracy=0.6087
Epoch 22: Accuracy=0.6043
Epoch 23: Accuracy=0.6088
Epoch 24: Accuracy=0.6112
Epoch 25: Accuracy=0.6132
Epoch 26: Accuracy=0.6062
Epoch 27: Accuracy=0.6034
Epoch 28: Accuracy=0.6114
Epoch 29: Accuracy=0.6068
Epoch 30: Accuracy=0.6098
Epoch 31: Accuracy=0.6085
Epoch 32: Accuracy=0.6051
Epoch 33: Accuracy=0.6107
Epoch 34: Accuracy=0.6023
Epoch 35: Accuracy=0.6140
Epoch 36: Accuracy=0.6114
Epoch 37: Accuracy=0.6117
Epoch 38: Accuracy=0.6075
Epoch 39: Accuracy=0.6062
Epoch 40: Accuracy=0.6148
Epoch 41: Accuracy=0.6149
Epoch 42: Accuracy=0.6159
Epoch 43: Accuracy=0.6047
Epoch 44: Accuracy=0.6155
Epoch 45: Accuracy=0.6173
Epoch 46: Accuracy=0.6111
Epoch 47: Accuracy=0.6112
Epoch 48: Accuracy=0.6125
Epoch 49: Accuracy=0.6158
Epoch 50: Accuracy=0.6054

Running config: emb_dim=256, depth=6, heads=4, mlp_dim=1024
Epoch 1: Accuracy=0.4794
Epoch 2: Accuracy=0.5318
Epoch 3: Accuracy=0.5634
Epoch 4: Accuracy=0.6019
Epoch 5: Accuracy=0.6058
Epoch 6: Accuracy=0.6183
Epoch 7: Accuracy=0.6258
Epoch 8: Accuracy=0.6150
Epoch 9: Accuracy=0.6253
Epoch 10: Accuracy=0.6222
Epoch 11: Accuracy=0.6103
Epoch 12: Accuracy=0.6207
Epoch 13: Accuracy=0.6218
Epoch 14: Accuracy=0.6231
Epoch 15: Accuracy=0.6178
Epoch 16: Accuracy=0.6183
Epoch 17: Accuracy=0.6171
Epoch 18: Accuracy=0.6129
Epoch 19: Accuracy=0.6188
Epoch 20: Accuracy=0.6243
Epoch 21: Accuracy=0.6166
Epoch 22: Accuracy=0.6118
Epoch 23: Accuracy=0.6231
Epoch 24: Accuracy=0.6184
Epoch 25: Accuracy=0.6225
Epoch 26: Accuracy=0.6310
Epoch 27: Accuracy=0.6181
Epoch 28: Accuracy=0.6265
Epoch 29: Accuracy=0.6216
Epoch 30: Accuracy=0.6271
Epoch 31: Accuracy=0.6194
Epoch 32: Accuracy=0.6268
Epoch 33: Accuracy=0.6266
Epoch 34: Accuracy=0.6310
Epoch 35: Accuracy=0.6275
Epoch 36: Accuracy=0.6184
Epoch 37: Accuracy=0.6166
Epoch 38: Accuracy=0.6253
Epoch 39: Accuracy=0.6283
Epoch 40: Accuracy=0.6290
Epoch 41: Accuracy=0.6225
Epoch 42: Accuracy=0.6233
Epoch 43: Accuracy=0.6259
Epoch 44: Accuracy=0.6209
Epoch 45: Accuracy=0.6248
Epoch 46: Accuracy=0.6315
Epoch 47: Accuracy=0.6315
Epoch 48: Accuracy=0.6333
Epoch 49: Accuracy=0.6235
Epoch 50: Accuracy=0.6189

Running config: emb_dim=256, depth=6, heads=4, mlp_dim=768
Epoch 1: Accuracy=0.4908
Epoch 2: Accuracy=0.5407
Epoch 3: Accuracy=0.5672
Epoch 4: Accuracy=0.5882
Epoch 5: Accuracy=0.6053
Epoch 6: Accuracy=0.6180
Epoch 7: Accuracy=0.6133
Epoch 8: Accuracy=0.6199
Epoch 9: Accuracy=0.6271
Epoch 10: Accuracy=0.6288
Epoch 11: Accuracy=0.6218
Epoch 12: Accuracy=0.6183
Epoch 13: Accuracy=0.6178
Epoch 14: Accuracy=0.6132
